OTU	taxonomy	F001	F009	F010	F012	F015	F016	F023	F025	F028	F029	F033	F037	F040	F041	F042	F043	F044	F046	F047	F048	F051	F052	F053	F060	F062	F067	F069	F071	F072	F075	F076	F078	F080	F084	F085	F087	F094	F095	F096	F097	F098	F099	F100	F101	F102	F103	F104	F105	F106	F107	F108	F109	F110	F111	F112	F113	F122	F124	F127	F134	F135	F141	F143	F145	unknown
b4bde5fabe33a7f864361530153f48ad	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae	0.005440696	0.011672848	0	0	0.006400683	0.018119972	0.017864193	0.006529467	0	0.006717515	0.008836952	0.00478117	0	0.024956971	0.011143455	0.007142177	0.011402779	0.005961252	0.011213679	0.011483876	0	0.00816113	0.009374602	0.01026582	0	0.00319712	0.0133311	0	0	0.008489971	0.00630925	0.002124383	0.014454239	0.0102831	0	0.011002886	0	0.006849727	0.004375996	0.005131363	0	0.003807493	0	0.006266247	0.011465216	0	0.008467484	0	0	0.005427931	0.009681212	0.001790831	0	0	0	0	0	0	0.005038193	0.005839416	0	0	0.00418629	0.003901719	0
6fdd688da33b366b837859cad836462a	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Synechococcus CC9902	0.004946088	0.007222331	0	0	0.002809189	0.00994664	0.013883406	0.005151024	0	0.005003149	0.007325368	0.005516734	0	0.0232358	0.00873283	0.006570803	0.015203706	0.008399946	0.009912645	0.009244881	0	0.009992153	0.009858617	0.009174767	0	0.004889713	0.009814101	0	0	0.005042079	0.007344614	0.002363376	0.009592948	0.006337747	0	0.008549784	0	0.005047167	0.003154788	0.00523399	0	0	0	0.004679163	0	0	0.007285974	0	0	0.006933744	0.010096121	0.004042161	0	0	0	0	0	0	0.004956932	0.00894954	0	0	0.005137719	0.005641675	0
ef04494de44f4f7489ba0338581a9e4c	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae	0	0.00212766	0	0	0.001173459	0.003707824	0.003289907	0.002998718	0	0.003988524	0.002499927	0	0	0.007253504	0.005776403	0.002095039	0.005345053	0.006909633	0.003593334	0.003575169	0	0.002458802	0.003566425	0.003173973	0.018419489	0.002203057	0.004756322	0	0	0.003447892	0.004367943	0.000955972	0.003435312	0.001531972	0	0.002164502	0	0.002102986	0	0	0	0	0	0.001805993	0	0	0.004282971	0	0	0.005568007	0.00871309	0.003376995	0	0	0	0	0	0	0.006582155	0.010155506	0	0	0.008562866	0.004903512	0
9bd851f67c83e3d109743f07a3db3320	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; Ambiguous_taxa; Ambiguous_taxa	0.00563854	0.001307827	0	0	0	0.002337541	0.003816292	0.00195884	0	0.001399482	0.00459289	0.00353071	0	0.012970248	0.00195579	0.002618798	0.007720632	0.002303211	0.003779196	0.005633599	0	0.003034266	0.00354095	0.00133902	0	0.000752264	0.002009714	0	0	0.001631261	0.000614747	0	0.001976925	0.002035634	0	0.003210678	0	0.002583669	0.001492588	0.00410509	0	0	0	0.002298536	0	0	0.000836902	0	0	0	0.003111818	0	0	0	0	0	0	0	0.001706485	0.005268169	0	0	0.003425146	0.003269008	0
31f1c6b0fc2ac518e94e7cadfe7f28a1	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313	0.007715897	0.003728284	0	0	0.005084987	0.004030243	0.002862219	0.003700031	0	0.004268421	0.004011511	0.004413387	0	0.003626752	0.004502865	0.003952005	0.004394821	0	0.004398736	0.004261312	0	0.002668062	0.005069418	0.003669907	0	0.005077779	0.004890303	0	0	0.005486968	0.004335587	0.005204737	0.005088151	0.004805775	0	0.004906205	0	0.005948447	0.004884833	0.005541872	0	0	0	0.005308524	0.012048193	0	0.004233742	0	0	0.003782042	0.003111818	0.004451494	0	0	0	0	0	0	0	0.003935259	0	0	0.004329004	0.00337446	0
12265c6aca2928c2bc9fe71988816516	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Nostocales; D_4__Phormidiaceae; D_5__Trichodesmium IMS101; Ambiguous_taxa	0	0.000351357	0	0	0	0.000128968	0	0.000943145	0	0	0.000494172	0.000294226	0	0.010327022	0.001182571	0	0.006651621	0.001219347	0.000433678	0	0	0.000261575	0.000203796	0	0	0	0.002143695	0	0	0.000333667	0.001100074	0.000292103	0.004634431	0.003168874	0	0.001370851	0	0.00102145	0.000644527	0	0	0.000609199	0	0.004761253	0	0	0.005119874	0	0	0.000840454	0.001037273	0.003172329	0	0	0	0	0	0	0.000325045	0	0	0	0.007468722	0.000158178	0
0b88d6ab6558fa083b79a2c5d6d208e0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Synechococcus CC9902	0.008606193	0.003611165	0	0	0	0.003917396	0.005263851	0.002901985	0	0	0	0	0	0.010081141	0	0	0	0	0	0	0	0	0.005273214	0.00386828	0	0	0.004287389	0	0	0	0.002264859	0	0.006352087	0.005078592	0	0.006060606	0	0	0	0	0	0	0	0.003995075	0	0	0.004676808	0	0	0	0.004633151	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93f178a72eea5198a7d679b5c07cfd6a	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313	0	0.004918993	0	0	0	0.005013622	0.005329649	0.006771299	0	0.006927437	0.005988198	0	0	0	0	0.007427864	0	0	0	0	0	0	0.005604382	0	0	0.007764434	0.008340312	0	0	0.006858711	0.005273886	0.009267619	0.006449313	0.006967325	0	0.007323232	0	0	0.009633977	0	0	0	0	0.005609523	0	0	0	0	0	0	0	0.007060991	0	0	0	0	0	0	0	0	0	0	0	0	0
912dc151e3ecdf57069e8103e82ca984	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313	0	0.005836424	0	0	0.00547614	0.00448163	0	0.007013131	0	0.005842838	0.005028924	0.007429202	0	0	0	0.005523283	0	0	0	0	0	0	0.004381607	0	0	0.006528573	0.005995646	0	0	0.005042079	0.006147475	0.006744915	0.005023334	0.006400705	0	0	0	0.00745058	0.006309576	0.00933908	0	0	0	0.006731427	0	0	0.006596761	0	0	0.00577812	0	0.006344658	0	0	0	0	0	0	0.007232244	0	0	0	0	0	0
1a6b10a3912a3180a503e31d17cd5ac2	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae	0.006034227	0.00103455	0	0	0.000497831	0.001805549	0.001315963	0.000701313	0	0.000804702	0.000901137	0	0	0.004302926	0.001773856	0.001047519	0	0	0	0.001372287	0	0.001621763	0.000764234	0.001091053	0	0.000805997	0.001507285	0	0	0	0	0	0.001944516	0	0	0.000901876	0	0.001502133	0.000746294	0	0	0.008376485	0	0.000601998	0	0	0	0	0	0.000805435	0.002351151	0	0	0	0	0	0	0	0.002194052	0.002538877	0	0	0.003758147	0.001318148	0
