#OTU ID	taxonomy	16S-even	16s-mock-even-insilico-v2	16s-mock-staggered-insilico-v2	16S-stag	BLANK	F059	F067	F075	F076	F080	F095	F096	F100	F104	F105	F106	F107	F109	F111	F135	F141	F143	F145	F60	F69	F78	F79	F87	unknown
84ce402bbecd33b12a0d464ecd799c90	D_0__Archaea; D_1__Euryarchaeota; D_2__Thermoplasmata; D_3__Marine Group III; Ambiguous_taxa; Ambiguous_taxa; Ambiguous_taxa	0.0	0.0	0.0	0.0	0.0	0.1682900432900433	0.11013215859030837	0.15247252747252749	0.13480392156862744	0.10935856992639327	0.12048192771084337	0.15535055350553506	0.16025236593059936	0.17885024840312277	0.1087866108786611	0.16512166859791425	0.19400352733686066	0.1949728260869565	0.1853562005277045	0.17051842598376016	0.17362637362637362	0.16452991452991453	0.244140625	0.1452814569536424	0.09700176366843033	0.13057760744593486	0.0	0.12439935931660438	1.0
625cabfbd66e4f32de52ec86cb441744	D_0__Archaea; D_1__Thaumarchaeota; D_2__Nitrososphaeria; D_3__Nitrosopumilales; D_4__Nitrosopumilaceae	0.0	0.0	0.0	0.0	0.5714285714285714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0056782334384858045	0.0042583392476933995	0.0	0.0	0.0	0.012907608695652174	0.0	0.0	0.0	0.0	0.009765625	0.007864238410596027	0.0048500881834215165	0.0038324664659184233	1.0	0.0	0.0
2970af3e30642198ba1dfa1f304f310b	D_0__Archaea; D_1__Thaumarchaeota; D_2__Nitrososphaeria; D_3__Nitrosopumilales; D_4__Nitrosopumilaceae; D_5__Candidatus Nitrosopumilus; Ambiguous_taxa	0.4407411177847908	0.5	0.7692307692307693	0.8124363294412663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0b7809b1b04598cfc5bbf6264159dde9	D_0__Archaea; D_1__Euryarchaeota; D_2__Thermoplasmata; D_3__Marine Group II	0.5520105873969255	0.5	0.15384615384615385	0.13639213227803465	0.42857142857142855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0e83728f7ad4609c0503c725c0ca4881	D_0__Archaea; D_1__Euryarchaeota; D_2__Thermoplasmata; D_3__Marine Group II; Ambiguous_taxa; Ambiguous_taxa; Ambiguous_taxa	0.0	0.0	0.0	0.0	0.0	0.18777056277056278	0.3086637298091043	0.22252747252747251	0.2549019607843137	0.3086225026288118	0.2555047777316161	0.2029520295202952	0.17350157728706625	0.20581973030518097	0.35704323570432356	0.30648899188876016	0.2222222222222222	0.264945652173913	0.25923482849604224	0.2954403497813866	0.328021978021978	0.2905982905982906	0.30859375	0.21937086092715233	0.23809523809523808	0.2909937038050917	0.0	0.34703683929524826	0.0
7b74bf428931286ad601ed529a7c19ae	D_0__Archaea; D_1__Euryarchaeota; D_2__Thermoplasmata; D_3__Marine Group II; D_4__marine metagenome; D_5__marine metagenome; D_6__marine metagenome	0.0	0.0	0.0	0.0	0.0	0.2343073593073593	0.2091042584434655	0.29395604395604397	0.24754901960784315	0.19453207150368035	0.23764021603656002	0.24354243542435425	0.32618296529968455	0.23846699787083037	0.26778242677824265	0.25840092699884126	0.31128747795414463	0.22758152173913043	0.316622691292876	0.212367270455965	0.17115384615384616	0.21367521367521367	0.169921875	0.21605960264900662	0.25749559082892415	0.22940049274568847	0.0	0.19220501868659903	0.0
015dad1fafca90944d905beb2a980bc3	D_0__Archaea; D_1__Euryarchaeota; D_2__Thermoplasmata; D_3__Marine Group II; Ambiguous_taxa; Ambiguous_taxa; Ambiguous_taxa	0.0	0.0	0.0	0.0	0.0	0.1423160173160173	0.13920704845814977	0.13667582417582416	0.13480392156862744	0.18506834910620398	0.11632737847943499	0.12177121771217712	0.1589905362776025	0.16820440028388928	0.13389121338912133	0.0996523754345307	0.08465608465608465	0.109375	0.08179419525065963	0.08806995627732667	0.06950549450549451	0.11965811965811966	0.080078125	0.08319536423841059	0.2019400352733686	0.13796879277306323	0.0	0.16177255739455418	0.0
3b3dbdfd540d82d7b0b6d70221698eb6	D_0__Archaea; D_1__Euryarchaeota; D_2__Thermoplasmata; D_3__Marine Group II; Ambiguous_taxa; Ambiguous_taxa; Ambiguous_taxa	0.0	0.0	0.0	0.0	0.0	0.030303030303030304	0.03494860499265785	0.02815934065934066	0.09803921568627451	0.031545741324921134	0.024927295388450354	0.023616236162361623	0.0416403785488959	0.0468417317246274	0.043235704323570434	0.0776361529548088	0.06878306878306878	0.044157608695652176	0.047493403693931395	0.042473454091193005	0.04120879120879121	0.057692307692307696	0.072265625	0.07947019867549669	0.054673721340388004	0.03367095537914043	0.0	0.014949279231179925	0.0
c97ab403dfec27de969d1b6debc9e4fb	D_0__Archaea; D_1__Thaumarchaeota; D_2__Nitrososphaeria; D_3__Nitrosopumilales; D_4__Nitrosopumilaceae	0.0	0.0	0.07692307692307693	0.05117153828069901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
33fc6b48715b25ec074e9133cecb4732	D_0__Archaea; D_1__Euryarchaeota; D_2__Thermoplasmata; D_3__Marine Group II; Ambiguous_taxa; Ambiguous_taxa; Ambiguous_taxa	0.0	0.0	0.0	0.0	0.0	0.01461038961038961	0.01908957415565345	0.02403846153846154	0.016339869281045753	0.029442691903259727	0.0519318653926049	0.02988929889298893	0.01892744479495268	0.029808374733853796	0.0	0.01853997682502897	0.04144620811287478	0.022418478260869564	0.011213720316622692	0.016864459712679577	0.02142857142857143	0.01282051282051282	0.0390625	0.048841059602649006	0.03262786596119929	0.038050917054475775	0.0	0.03150026695141484	0.0
