#OTU ID	taxonomy	16S-even	16s-mock-even-insilico-v2	16s-mock-staggered-insilico-v2	16S-stag	18S-stag	BLANK	F059	F067	F075	F076	F080	F095	F096	F100	F104	F105	F106	F107	F109	F111	F135	F141	F143	F145	F60	F69	F78	F79	F87	unknown
e9f376c867c2a1506d5b0996f9839a20	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313	0.00097188995215311	0.0	0.0	0.0	1.0	0.65	0.6117711143390745	0.5828766108724633	0.5584697298363241	0.5703910930258845	0.5079669201743925	0.6051634369512308	0.6375582790706824	0.5669473941169291	0.5504374057315233	0.4486585456991256	0.5607441937213812	0.575618233824541	0.6464532361171729	0.607264551937331	0.5751685689531774	0.595831185935979	0.6057056489703382	0.6585453889189677	0.5447452287629584	0.5312182945486754	0.6353328898832921	1.0	0.5471506560674265	0.7228915662650602
86cd70d2450e3f44f4a7c543f53008ee	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313	0.9990281100478469	1.0	1.0	0.9997392891283566	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4cab0df7abb88b31989680d38a6e8df1	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Synechococcus CC9902	0.0	0.0	0.0	0.0	0.0	0.0	0.0951960987756796	0.0654841258085222	0.12435910076907908	0.11266531027466938	0.1986158087157129	0.08176468775994332	0.055200361969586685	0.12492371536677652	0.13993966817496228	0.27075704356923996	0.14535291448372592	0.09822947970599949	0.04544170881363765	0.0733480872589314	0.10893886314837835	0.08314722556261811	0.09654260343850368	0.0808518317993142	0.1434118465877871	0.15558418552218375	0.03464957368325573	0.0	0.15607700411837946	0.1180722891566265
d089e76cb77366eba904ed413876e849	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313	0.0	0.0	0.0	0.0	0.0	0.0	0.1031334301722349	0.10766306226238088	0.0991668309998028	0.10455521645755624	0.10557391151342158	0.13216673341754212	0.13687958609564652	0.09248748932015134	0.10723981900452488	0.07551752484866602	0.08547502165752238	0.09395705854665266	0.10839259582552438	0.09737590894720202	0.09300485930613629	0.09365515661684705	0.10863404496504818	0.11622450821151417	0.09426474718243648	0.09174651743296562	0.11995827538247567	0.0	0.11583181687577818	0.14457831325301204
44369269b45b7e1a562a501cea30045e	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313	0.0	0.0	0.0	0.0	0.0	0.0	0.028766341564639968	0.025070359946674566	0.02911161506606192	0.030151463773030407	0.023519521398267806	0.03031516682584183	0.029980524462455492	0.025814719882826805	0.026787330316742082	0.0243255362080562	0.028113526669691843	0.027336254028024188	0.025621935251983263	0.024870903151016966	0.02523825667683731	0.02370726679264731	0.02399395427923673	0.030319436924742826	0.02405460517479273	0.0239793864240277	0.028572292435145433	0.0	0.025112537113303322	0.0
b4bde5fabe33a7f864361530153f48ad	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0041891471259597425	0.0028390855675702363	0.00744429106685072	0.00593421498813157	0.015112709925902754	0.005329800671616501	0.003777073948025889	0.00982546075918467	0.006455505279034691	0.0190942380987968	0.007157295491110102	0.004091386364459249	0.0016687633180149418	0.003302069062423157	0.0047839680566542355	0.0025482448605623318	0.0035896467031928964	0.0027070925825663237	0.008608373933111103	0.010693292535630889	0.0012396444336941403	0.0	0.009520160904127956	0.0
6fdd688da33b366b837859cad836462a	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Synechococcus CC9902	0.0	0.0	0.0	0.0	0.0	0.0	0.005006225357958083	0.003024243321976991	0.005373693551567738	0.004945179156776308	0.008309057850593365	0.004343941587849287	0.0026360828595597347	0.008086171121689247	0.0056410256410256415	0.012891413197817801	0.007693576997648612	0.005720699518447446	0.002618674745192678	0.0031966838795798643	0.005838701171507138	0.003951211132107885	0.0	0.0	0.008254270608202987	0.00917948305016507	0.0018141138054060591	0.0	0.00651278613159659	0.0
b7cc4a2a1497d150d66b6c791f150f3c	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.004318842083419797	0.002999555621389424	0.002193847367383159	0.0019215553294902226	0.006158478171616259	0.0039126282387011305	0.0021246040957645625	0.00982546075918467	0.005158371040723982	0.011770420745833645	0.006662266408151479	0.0021362105796734134	0.0	0.0013348789826817017	0.005801032131690963	0.0015461260951726507	0.0024560740600793503	0.0034289839379173436	0.005519127684774778	0.00489572429342137	0.0004988812964866662	0.0	0.0035054113590652237	0.0
dd4f77cf004b652cd0249d3cca86060c	Kingdom.Eukaryota; Supergroup.Hacrobia; Phylum.Haptophyta; Class.Prymnesiophyceae; Subclass.Prymnesiophycidae_X; Order.Prymnesiales; Suborder.Prymnesiales_X; Family.Chrysochromulinaceae; Genus.Chrysochromulinaceae_X; Species.Chrysochromulinaceae_X	0.0	0.0	0.0	0.0	0.0	0.0	0.0028662585598671925	0.0024440823581691603	0.003623545651745218	0.0050582118232169095	0.001955072435433733	0.002464647709418035	0.0016918143725532626	0.0036006346881484195	0.0026244343891402714	0.002951946790224946	0.002475145414793119	0.005756906477424961	0.0026443480270082927	0.004707204833667053	0.004972313255735111	0.005182385615300922	0.011146797657283204	0.003789929615592853	0.0026008278691527164	0.0019325227474031727	0.0024792888673882806	0.0	0.00218369887941768	0.0
e2f51f019e9a31b9c3c93e93a2e4b0cb	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Synechococcus CC9902	0.0	0.0	0.0	0.0	0.0	0.0	0.0028143805768831706	0.002653927813163482	0.0035002957996450403	0.005142986323047361	0.01016637666425541	0.003234850118611171	0.002655755119705703	0.010923959477602831	0.004796380090497737	0.010910993199312458	0.005589703395074461	0.0022448314566059597	0.0	0.0024941159939579163	0.0037292349418013336	0.0015461260951726507	0.008690723597203855	0.0	0.0031747194646934563	0.007391899508817135	0.0	0.0	0.0037735849056603774	0.0
